"","n","n_t","zeta","Q","scenario_id","rank","iteration_id","save_model","dsim_seed","model_seed","start_gamma","start_emiss"
"11",40,1600,1,0.4,"0dc54c31fef39829275858cf423bfe87",5,"800ed3951e7c24b52e63788a7e33a981",TRUE,9505705,6321129,"{
  ""tpm"": [0.5332, 0.2334, 0.2334, 0.2334, 0.5332, 0.2334, 0.2334, 0.2334, 0.5332]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.5055, 1.4914, -5.9872, 1.5739, 4.1815, 1.5266],
  ""EOG_median_theta"": [5.8973, 1.595, 0.9102, 1.5145, -3.9542, 1.558],
  ""EOG_min_beta"": [-6.0882, 1.4344, 4.1634, 1.4159, -1.2169, 1.5465]
}"
"12",40,1600,1,0.4,"0dc54c31fef39829275858cf423bfe87",23,"0e28604d73d15f86eab98332c3282910",TRUE,4726673,8627270,"{
  ""tpm"": [0.7423, 0.1288, 0.1288, 0.1288, 0.7423, 0.1288, 0.1288, 0.1288, 0.7423]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.4443, 1.4948, -5.8592, 1.4533, 4.2049, 1.4573],
  ""EOG_median_theta"": [6.1132, 1.5351, 0.9075, 1.5981, -4.0383, 1.4546],
  ""EOG_min_beta"": [-5.8631, 1.5562, 3.8638, 1.5101, -1.1652, 1.4564]
}"
"13",20,800,0.5,0.4,"0ee71802d444bd47adcb19e6722129cb",9,"5ab5ac1e065f0637dfacd6162ed248bc",TRUE,6246775,4059677,"{
  ""tpm"": [0.6474, 0.1763, 0.1763, 0.1763, 0.6474, 0.1763, 0.1763, 0.1763, 0.6474]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.4669, 1.0219, -6.1164, 0.9048, 4.2641, 0.9969],
  ""EOG_median_theta"": [5.9185, 0.9113, 0.9219, 0.9367, -3.8311, 1.0784],
  ""EOG_min_beta"": [-6.1443, 0.9432, 4.054, 1.0752, -1.033, 0.9358]
}"
"14",20,800,0.5,0.4,"0ee71802d444bd47adcb19e6722129cb",14,"4aed924d3a9912fa4421d415c96d8fd8",TRUE,8876083,245624,"{
  ""tpm"": [0.6015, 0.1992, 0.1992, 0.1992, 0.6015, 0.1992, 0.1992, 0.1992, 0.6015]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.3804, 0.9484, -6.1198, 1.0367, 4.3463, 1.0941],
  ""EOG_median_theta"": [5.8797, 1.0561, 1.2048, 1.0119, -4.0259, 0.9528],
  ""EOG_min_beta"": [-5.9398, 1.0012, 4.1199, 0.9917, -1.3271, 1.0777]
}"
"15",20,800,0.5,0.1,"10f1a80c0f7daaf2d1034c9ebd9d2c67",7,"8889f3176ada99fe80036e07fe0e7217",TRUE,6573374,7269418,"{
  ""tpm"": [0.6125, 0.1938, 0.1938, 0.1938, 0.6125, 0.1938, 0.1938, 0.1938, 0.6125]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.4761, 0.9467, -6.0671, 0.9942, 4.1401, 1.0209],
  ""EOG_median_theta"": [5.9429, 1.0314, 1.281, 0.9432, -3.9868, 0.9732],
  ""EOG_min_beta"": [-6.1513, 0.9286, 3.8593, 1.034, -1.3617, 1.0034]
}"
"16",20,800,0.5,0.1,"10f1a80c0f7daaf2d1034c9ebd9d2c67",26,"1c960d790daf3ba6d42ccc1ab7d01a8a",TRUE,3253613,4222663,"{
  ""tpm"": [0.7498, 0.1251, 0.1251, 0.1251, 0.7498, 0.1251, 0.1251, 0.1251, 0.7498]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.3958, 1.0516, -6.1956, 1.0555, 4.0282, 0.9028],
  ""EOG_median_theta"": [5.9512, 0.9539, 1.2129, 1.039, -3.9808, 1.073],
  ""EOG_min_beta"": [-6.1624, 0.9515, 4.1635, 1.0662, -1.3723, 1.0039]
}"
"17",20,800,1,0.2,"165c8f20f412a77ecc7121e4ad356167",14,"56bbb67d6fbd25b8967663a701c296a3",TRUE,6681554,2942096,"{
  ""tpm"": [0.7134, 0.1433, 0.1433, 0.1433, 0.7134, 0.1433, 0.1433, 0.1433, 0.7134]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.6153, 1.5145, -6.0203, 1.4952, 4.2697, 1.4575],
  ""EOG_median_theta"": [5.9066, 1.5831, 1.0874, 1.4098, -4.1853, 1.5064],
  ""EOG_min_beta"": [-6.1737, 1.556, 3.9838, 1.419, -1.2236, 1.5814]
}"
"18",20,800,1,0.2,"165c8f20f412a77ecc7121e4ad356167",28,"f551ed5d0eaac7040ef07bf4aaf823ce",TRUE,8782999,2950314,"{
  ""tpm"": [0.5787, 0.2106, 0.2106, 0.2106, 0.5787, 0.2106, 0.2106, 0.2106, 0.5787]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.3157, 1.434, -6.0231, 1.5331, 4.1458, 1.4774],
  ""EOG_median_theta"": [5.8653, 1.5147, 1.1002, 1.4657, -4.019, 1.5836],
  ""EOG_min_beta"": [-6.1579, 1.5607, 3.8106, 1.465, -1.2574, 1.5162]
}"
"19",20,1600,1,0.2,"1c3361165dfbd7e8f1a1236be2b8c3fb",6,"ce6af694d71123acb41a8e30d485b016",TRUE,2868350,3379852,"{
  ""tpm"": [0.5649, 0.2175, 0.2175, 0.2175, 0.5649, 0.2175, 0.2175, 0.2175, 0.5649]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.5307, 1.5814, -6.1367, 1.506, 4.2756, 1.5019],
  ""EOG_median_theta"": [5.865, 1.4813, 1.2145, 1.4018, -3.9018, 1.4787],
  ""EOG_min_beta"": [-5.9328, 1.4652, 4.1907, 1.504, -1.2187, 1.5543]
}"
"20",20,1600,1,0.2,"1c3361165dfbd7e8f1a1236be2b8c3fb",18,"6e33552d2da322b8cf8bf8f035c4f709",TRUE,4869941,5915720,"{
  ""tpm"": [0.5646, 0.2177, 0.2177, 0.2177, 0.5646, 0.2177, 0.2177, 0.2177, 0.5646]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.5891, 1.5855, -5.8671, 1.5731, 4.2537, 1.4269],
  ""EOG_median_theta"": [6.0924, 1.5351, 0.9837, 1.4738, -3.9325, 1.5264],
  ""EOG_min_beta"": [-5.8823, 1.4191, 3.8002, 1.4902, -1.0548, 1.4076]
}"
