"emiss_var_short","state","pbias","empirical_se","modSE","MSE","coverage","bias_corr_coverage","pbias1","empirical_se1","modSE1","MSE1","coverage1","bias_corr_coverage1","pbias2","empirical_se2","modSE2","MSE2","coverage2","bias_corr_coverage2","pbias3","empirical_se3","modSE3","MSE3","coverage3","bias_corr_coverage3","pbias4","empirical_se4","modSE4","MSE4","coverage4","bias_corr_coverage4"
"EOG_median_theta","state2","213.50 (1.51)","0.119 (0.005)","0.385 (0.002)","1.154 (0.016)","0.00 (0.00)","1.00 (0.00)","213.62 (1.49)","0.118 (0.005)","0.386 (0.002)","1.155 (0.016)","0.00 (0.00)","1.00 (0.00)","73.84 (0.76)","0.059 (0.003)","0.112 (0.001)","0.140 (0.003)","0.00 (0.00)","1.00 (0.00)","119.09 (1.03)","0.082 (0.004)","0.187 (0.001)","0.361 (0.006)","0.00 (0.00)","1.00 (0.00)","116.30 (2.28)","0.076 (0.008)","0.184 (0.002)","0.344 (0.013)","0.00 (0.00)","1.00 (0.00)"
"EOG_median_theta","state3"," 74.46 (1.51)","0.120 (0.005)","0.224 (0.002)","0.153 (0.006)","0.19 (0.02)","1.00 (0.00)"," 74.50 (1.51)","0.119 (0.005)","0.224 (0.002)","0.153 (0.006)","0.21 (0.03)","1.00 (0.00)","32.46 (0.83)","0.065 (0.003)","0.089 (0.001)","0.031 (0.001)","0.38 (0.03)","0.98 (0.01)"," 44.97 (1.03)","0.082 (0.004)","0.129 (0.001)","0.057 (0.002)","0.32 (0.03)","1.00 (0.00)"," 47.52 (2.35)","0.079 (0.008)","0.132 (0.002)","0.063 (0.006)","0.29 (0.07)","1.00 (0.00)"
"EOG_min_beta","state1","  0.94 ( 1.83)","0.116 (0.005)","0.126 (0.001)","0.013 (0.001)","0.95 (0.01)","0.95 (0.01)","  0.90 ( 1.84)","0.116 (0.005)","0.126 (0.001)","0.013 (0.001)","0.94 (0.02)","0.94 (0.02)","-0.68 ( 1.01)","0.063 (0.003)","0.068 (0.000)","0.004 (0.000)","0.98 (0.01)","0.97 (0.01)","-2.70 ( 1.28)","0.081 (0.004)","0.090 (0.000)","0.007 (0.001)","0.98 (0.01)","0.98 (0.01)"," 1.44 ( 3.47)","0.093 (0.010)","0.090 (0.001)","0.009 (0.002)","0.93 (0.04)","0.96 (0.03)"
"EOG_min_beta","state2"," -1.88 ( 0.19)","0.106 (0.005)","0.148 (0.001)","0.016 (0.001)","0.97 (0.01)","0.99 (0.01)"," -1.88 ( 0.19)","0.105 (0.005)","0.148 (0.001)","0.015 (0.001)","0.98 (0.01)","1.00 (0.00)","-0.65 ( 0.11)","0.059 (0.003)","0.071 (0.000)","0.004 (0.000)","0.98 (0.01)","0.98 (0.01)","-1.03 ( 0.14)","0.079 (0.004)","0.098 (0.000)","0.008 (0.001)","0.96 (0.01)","0.97 (0.01)","-0.99 ( 0.33)","0.077 (0.008)","0.099 (0.001)","0.007 (0.001)","1.00 (0.00)","1.00 (0.00)"
"EOG_min_beta","state3"," -2.90 (-0.25)","0.109 (0.005)","0.150 (0.001)","0.018 (0.001)","0.97 (0.01)","0.99 (0.01)"," -2.90 (-0.25)","0.109 (0.005)","0.150 (0.001)","0.018 (0.001)","0.97 (0.01)","0.99 (0.01)","-0.88 (-0.14)","0.064 (0.003)","0.072 (0.000)","0.005 (0.000)","0.96 (0.01)","0.96 (0.01)","-1.57 (-0.17)","0.076 (0.003)","0.098 (0.000)","0.008 (0.001)","0.98 (0.01)","0.99 (0.01)","-1.40 (-0.45)","0.084 (0.009)","0.098 (0.001)","0.008 (0.002)","0.96 (0.03)","0.98 (0.02)"
"EOG_min_beta","state1"," 10.26 (1.47)","0.116 (0.005)","0.151 (0.002)","0.016 (0.002)","0.96 (0.01)","0.96 (0.01)"," 10.46 (1.46)","0.116 (0.005)","0.152 (0.002)","0.016 (0.002)","0.96 (0.01)","0.97 (0.01)","13.89 (0.78)","0.061 (0.003)","0.078 (0.000)","0.009 (0.001)","0.87 (0.02)","0.98 (0.01)"," 12.59 (0.99)","0.078 (0.004)","0.104 (0.001)","0.010 (0.001)","0.95 (0.01)","1.00 (0.00)"," 14.24 (2.88)","0.097 (0.010)","0.106 (0.003)","0.014 (0.004)","0.91 (0.04)","0.96 (0.03)"
"EOG_min_beta","state2"," 57.26 (1.41)","0.112 (0.005)","0.203 (0.002)","0.094 (0.005)","0.48 (0.03)","1.00 (0.00)"," 57.49 (1.39)","0.110 (0.005)","0.204 (0.002)","0.095 (0.004)","0.50 (0.03)","1.00 (0.00)","26.38 (0.75)","0.059 (0.003)","0.085 (0.000)","0.021 (0.001)","0.59 (0.03)","1.00 (0.00)"," 36.61 (1.14)","0.090 (0.004)","0.122 (0.001)","0.042 (0.002)","0.52 (0.03)","1.00 (0.00)"," 41.00 (2.29)","0.077 (0.008)","0.126 (0.002)","0.048 (0.005)","0.44 (0.07)","1.00 (0.00)"
"EOG_min_beta","state3"," 63.00 (1.60)","0.127 (0.006)","0.211 (0.002)","0.115 (0.006)","0.40 (0.03)","1.00 (0.00)"," 63.00 (1.62)","0.128 (0.006)","0.211 (0.002)","0.116 (0.006)","0.40 (0.03)","0.99 (0.01)","28.58 (0.89)","0.069 (0.003)","0.087 (0.001)","0.025 (0.001)","0.47 (0.03)","0.99 (0.01)"," 38.96 (1.04)","0.082 (0.004)","0.124 (0.001)","0.045 (0.002)","0.49 (0.03)","0.98 (0.01)"," 39.66 (2.56)","0.086 (0.009)","0.125 (0.002)","0.047 (0.007)","0.56 (0.07)","0.98 (0.02)"
"MLR_intercepts","S1toS1","-1.65 (0.02)","0.002 (0.000)","0.004 (0.000)","0.000 (0.000)","0.07 (0.02)","1.00 (0.00)","-2.27 (0.09)","0.007 (0.000)","0.013 (0.000)","0.000 (0.000)","0.97 (0.01)","1.00 (0.00)","-1.20 (0.05)","0.004 (0.000)","0.005 (0.000)","0.000 (0.000)","0.85 (0.02)","0.98 (0.01)","-1.52 (0.06)","0.005 (0.000)","0.007 (0.000)","0.000 (0.000)","0.90 (0.02)","1.00 (0.00)","-0.65 (0.12)","0.004 (0.000)","0.007 (0.000)","0.000 (0.000)","0.98 (0.02)","1.00 (0.00)"
"MLR_intercepts","S1toS2","-0.11 (0.01)","0.001 (0.000)","0.001 (0.000)","0.000 (0.000)","1.00 (0.00)","1.00 (0.00)"," 1.12 (0.07)","0.006 (0.000)","0.009 (0.000)","0.000 (0.000)","0.98 (0.01)","1.00 (0.00)"," 0.61 (0.04)","0.003 (0.000)","0.004 (0.000)","0.000 (0.000)","0.92 (0.02)","0.98 (0.01)"," 0.76 (0.05)","0.004 (0.000)","0.005 (0.000)","0.000 (0.000)","0.95 (0.01)","1.00 (0.00)"," 0.46 (0.11)","0.004 (0.000)","0.005 (0.000)","0.000 (0.000)","0.96 (0.03)","0.98 (0.02)"
"MLR_intercepts","S1toS3"," 1.14 (0.02)","0.002 (0.000)","0.003 (0.000)","0.000 (0.000)","0.20 (0.02)","1.00 (0.00)"," 1.08 (0.07)","0.005 (0.000)","0.009 (0.000)","0.000 (0.000)","0.97 (0.01)","1.00 (0.00)"," 0.58 (0.04)","0.003 (0.000)","0.004 (0.000)","0.000 (0.000)","0.90 (0.02)","0.98 (0.01)"," 0.74 (0.05)","0.004 (0.000)","0.005 (0.000)","0.000 (0.000)","0.94 (0.02)","0.99 (0.01)"," 0.16 (0.09)","0.003 (0.000)","0.005 (0.000)","0.000 (0.000)","1.00 (0.00)","1.00 (0.00)"
"MLR_intercepts","S2toS1"," 2.32 (0.02)","0.002 (0.000)","0.003 (0.000)","0.000 (0.000)","0.00 (0.00)","1.00 (0.00)"," 1.07 (0.08)","0.006 (0.000)","0.010 (0.000)","0.000 (0.000)","0.99 (0.01)","0.99 (0.01)"," 0.65 (0.04)","0.004 (0.000)","0.004 (0.000)","0.000 (0.000)","0.91 (0.02)","0.98 (0.01)"," 0.88 (0.06)","0.004 (0.000)","0.006 (0.000)","0.000 (0.000)","0.96 (0.01)","1.00 (0.00)"," 0.65 (0.14)","0.005 (0.000)","0.005 (0.000)","0.000 (0.000)","0.93 (0.04)","1.00 (0.00)"
"MLR_intercepts","S2toS2","-3.45 (0.07)","0.005 (0.000)","0.008 (0.000)","0.000 (0.000)","0.25 (0.03)","1.00 (0.00)","-2.19 (0.16)","0.013 (0.001)","0.020 (0.000)","0.000 (0.000)","0.98 (0.01)","1.00 (0.00)","-1.38 (0.09)","0.007 (0.000)","0.008 (0.000)","0.000 (0.000)","0.89 (0.02)","0.98 (0.01)","-1.76 (0.12)","0.009 (0.000)","0.012 (0.000)","0.000 (0.000)","0.94 (0.02)","1.00 (0.00)","-1.29 (0.29)","0.010 (0.001)","0.011 (0.000)","0.000 (0.000)","0.93 (0.04)","1.00 (0.00)"
"MLR_intercepts","S2toS3"," 4.51 (0.06)","0.004 (0.000)","0.007 (0.000)","0.001 (0.000)","0.00 (0.00)","1.00 (0.00)"," 1.05 (0.11)","0.009 (0.000)","0.014 (0.000)","0.000 (0.000)","1.00 (0.00)","1.00 (0.00)"," 0.72 (0.06)","0.005 (0.000)","0.006 (0.000)","0.000 (0.000)","0.93 (0.02)","0.97 (0.01)"," 0.86 (0.08)","0.007 (0.000)","0.008 (0.000)","0.000 (0.000)","0.95 (0.01)","0.98 (0.01)"," 0.63 (0.19)","0.006 (0.001)","0.008 (0.000)","0.000 (0.000)","1.00 (0.00)","1.00 (0.00)"
"MLR_intercepts","S3toS1"," 0.76 (0.02)","0.001 (0.000)","0.003 (0.000)","0.000 (0.000)","0.75 (0.03)","1.00 (0.00)"," 1.29 (0.09)","0.007 (0.000)","0.011 (0.000)","0.000 (0.000)","0.98 (0.01)","1.00 (0.00)"," 0.75 (0.05)","0.004 (0.000)","0.005 (0.000)","0.000 (0.000)","0.93 (0.02)","0.98 (0.01)"," 0.84 (0.07)","0.005 (0.000)","0.007 (0.000)","0.000 (0.000)","0.96 (0.01)","0.99 (0.01)"," 0.29 (0.15)","0.005 (0.001)","0.006 (0.000)","0.000 (0.000)","0.98 (0.02)","0.98 (0.02)"
"MLR_intercepts","S3toS2","-1.58 (0.03)","0.002 (0.000)","0.004 (0.000)","0.000 (0.000)","0.60 (0.03)","1.00 (0.00)"," 1.20 (0.13)","0.010 (0.000)","0.015 (0.000)","0.000 (0.000)","1.00 (0.00)","1.00 (0.00)"," 0.70 (0.06)","0.005 (0.000)","0.007 (0.000)","0.000 (0.000)","0.98 (0.01)","0.99 (0.01)"," 0.70 (0.10)","0.008 (0.000)","0.009 (0.000)","0.000 (0.000)","0.96 (0.01)","0.98 (0.01)"," 0.47 (0.18)","0.006 (0.001)","0.009 (0.000)","0.000 (0.000)","1.00 (0.00)","1.00 (0.00)"
"MLR_intercepts","S3toS3","-1.99 (0.04)","0.003 (0.000)","0.006 (0.000)","0.000 (0.000)","0.56 (0.03)","1.00 (0.00)","-2.57 (0.17)","0.013 (0.001)","0.021 (0.000)","0.000 (0.000)","1.00 (0.00)","1.00 (0.00)","-1.46 (0.09)","0.007 (0.000)","0.009 (0.000)","0.000 (0.000)","0.93 (0.02)","0.99 (0.01)","-1.55 (0.13)","0.010 (0.000)","0.013 (0.000)","0.000 (0.000)","0.95 (0.01)","0.99 (0.01)","-0.79 (0.24)","0.008 (0.001)","0.012 (0.000)","0.000 (0.000)","1.00 (0.00)","1.00 (0.00)"
