"emiss_var_short","state","pbias","empirical_se","modSE","MSE","coverage","bias_corr_coverage","pbias1","empirical_se1","modSE1","MSE1","coverage1","bias_corr_coverage1","pbias2","empirical_se2","modSE2","MSE2","coverage2","bias_corr_coverage2","pbias3","empirical_se3","modSE3","MSE3","coverage3","bias_corr_coverage3","pbias4","empirical_se4","modSE4","MSE4","coverage4","bias_corr_coverage4"
"EOG_median_theta","state2","433.22 (1.79)","0.071 (0.003)","0.326 (0.001)","1.178 (0.010)","0.00 (0.00)","1.00 (0.00)","433.18 (1.75)","0.069 (0.003)","0.326 (0.001)","1.178 (0.010)","0.00 (0.00)","1.00 (0.00)","148.20 (0.76)","0.030 (0.001)","0.080 (0.000)","0.138 (0.001)","0.00 (0.00)","1.00 (0.00)","237.40 (1.10)","0.043 (0.002)","0.143 (0.000)","0.354 (0.003)","0.00 (0.00)","1.00 (0.00)","234.82 (1.78)","0.041 (0.003)","0.142 (0.001)","0.346 (0.005)","0.00 (0.00)","1.00 (0.00)"
"EOG_median_theta","state3","149.32 (1.46)","0.058 (0.003)","0.159 (0.001)","0.143 (0.003)","0.00 (0.00)","1.00 (0.00)","149.43 (1.45)","0.057 (0.003)","0.159 (0.001)","0.143 (0.003)","0.00 (0.00)","1.00 (0.00)"," 63.09 (0.76)","0.030 (0.001)","0.056 (0.000)","0.026 (0.001)","0.00 (0.00)","1.00 (0.00)"," 87.87 (1.09)","0.043 (0.002)","0.084 (0.000)","0.050 (0.001)","0.00 (0.00)","1.00 (0.00)"," 87.68 (1.92)","0.044 (0.003)","0.084 (0.001)","0.050 (0.002)","0.00 (0.00)","1.00 (0.00)"
"EOG_min_beta","state1","  1.66 ( 1.16)","0.073 (0.003)","0.095 (0.001)","0.005 (0.000)","0.99 (0.01)","1.00 (0.00)","  1.55 ( 1.16)","0.074 (0.003)","0.095 (0.001)","0.005 (0.000)","0.99 (0.01)","1.00 (0.00)"," 0.12 ( 0.69)","0.044 (0.002)","0.052 (0.000)","0.002 (0.000)","0.98 (0.01)","0.98 (0.01)","  0.44 ( 0.98)","0.062 (0.003)","0.068 (0.000)","0.004 (0.000)","0.96 (0.01)","0.96 (0.01)","-0.26 ( 1.44)","0.053 (0.004)","0.069 (0.000)","0.003 (0.000)","0.99 (0.01)","0.99 (0.01)"
"EOG_min_beta","state2"," -2.38 ( 0.14)","0.079 (0.004)","0.124 (0.000)","0.013 (0.001)","0.98 (0.01)","1.00 (0.00)"," -2.38 ( 0.14)","0.078 (0.004)","0.124 (0.000)","0.013 (0.001)","0.98 (0.01)","1.00 (0.00)","-0.79 ( 0.08)","0.042 (0.002)","0.057 (0.000)","0.003 (0.000)","0.98 (0.01)","1.00 (0.00)"," -1.12 ( 0.10)","0.056 (0.002)","0.079 (0.000)","0.005 (0.000)","0.98 (0.01)","0.99 (0.01)","-0.83 ( 0.17)","0.056 (0.004)","0.079 (0.000)","0.004 (0.001)","0.99 (0.01)","1.00 (0.00)"
"EOG_min_beta","state3"," -2.94 (-0.18)","0.080 (0.004)","0.127 (0.000)","0.013 (0.001)","0.97 (0.01)","1.00 (0.00)"," -2.93 (-0.18)","0.080 (0.004)","0.127 (0.000)","0.013 (0.001)","0.96 (0.01)","1.00 (0.00)","-0.82 (-0.10)","0.045 (0.002)","0.057 (0.000)","0.003 (0.000)","0.97 (0.01)","0.98 (0.01)"," -1.32 (-0.12)","0.055 (0.002)","0.080 (0.000)","0.004 (0.000)","0.99 (0.01)","1.00 (0.00)","-1.50 (-0.22)","0.058 (0.004)","0.080 (0.000)","0.005 (0.001)","0.99 (0.01)","0.99 (0.01)"
"EOG_min_beta","state1"," 19.04 (1.47)","0.058 (0.003)","0.086 (0.001)","0.006 (0.001)","0.95 (0.01)","0.99 (0.01)"," 19.01 (1.48)","0.058 (0.003)","0.086 (0.001)","0.006 (0.001)","0.95 (0.01)","0.99 (0.01)"," 24.08 (0.81)","0.032 (0.001)","0.045 (0.000)","0.005 (0.000)","0.70 (0.03)","0.99 (0.01)"," 22.96 (1.00)","0.040 (0.002)","0.060 (0.000)","0.005 (0.000)","0.87 (0.02)","1.00 (0.00)"," 27.18 (1.75)","0.040 (0.003)","0.062 (0.001)","0.006 (0.001)","0.81 (0.04)","0.99 (0.01)"
"EOG_min_beta","state2","116.52 (1.41)","0.056 (0.002)","0.140 (0.001)","0.088 (0.002)","0.00 (0.00)","1.00 (0.00)","116.95 (1.41)","0.056 (0.003)","0.140 (0.001)","0.089 (0.002)","0.00 (0.00)","1.00 (0.00)"," 52.79 (0.74)","0.029 (0.001)","0.053 (0.000)","0.018 (0.001)","0.00 (0.00)","1.00 (0.00)"," 73.19 (1.09)","0.043 (0.002)","0.079 (0.000)","0.035 (0.001)","0.03 (0.01)","1.00 (0.00)"," 73.16 (2.11)","0.049 (0.004)","0.079 (0.001)","0.036 (0.002)","0.00 (0.00)","1.00 (0.00)"
"EOG_min_beta","state3","127.13 (1.49)","0.059 (0.003)","0.146 (0.001)","0.104 (0.002)","0.00 (0.00)","1.00 (0.00)","126.82 (1.47)","0.058 (0.003)","0.146 (0.001)","0.104 (0.002)","0.00 (0.00)","1.00 (0.00)"," 55.84 (0.76)","0.030 (0.001)","0.054 (0.000)","0.020 (0.001)","0.02 (0.01)","1.00 (0.00)"," 77.40 (1.12)","0.044 (0.002)","0.080 (0.000)","0.039 (0.001)","0.01 (0.01)","1.00 (0.00)"," 77.54 (1.75)","0.040 (0.003)","0.081 (0.001)","0.039 (0.002)","0.02 (0.02)","1.00 (0.00)"
"MLR_intercepts","S1toS1","-3.41 (0.05)","0.002 (0.000)","0.004 (0.000)","0.000 (0.000)","0.06 (0.02)","1.00 (0.00)","-5.03 (0.17)","0.007 (0.000)","0.013 (0.000)","0.000 (0.000)","0.97 (0.01)","1.00 (0.00)","-2.41 (0.08)","0.003 (0.000)","0.005 (0.000)","0.000 (0.000)","0.88 (0.02)","0.99 (0.01)","-3.13 (0.13)","0.005 (0.000)","0.007 (0.000)","0.000 (0.000)","0.92 (0.02)","1.00 (0.00)","-2.17 (0.19)","0.004 (0.000)","0.007 (0.000)","0.000 (0.000)","0.96 (0.02)","1.00 (0.00)"
"MLR_intercepts","S1toS2","-0.14 (0.02)","0.001 (0.000)","0.001 (0.000)","0.000 (0.000)","1.00 (0.00)","1.00 (0.00)"," 2.46 (0.14)","0.005 (0.000)","0.009 (0.000)","0.000 (0.000)","0.96 (0.01)","1.00 (0.00)"," 1.26 (0.07)","0.003 (0.000)","0.004 (0.000)","0.000 (0.000)","0.92 (0.02)","0.98 (0.01)"," 1.46 (0.10)","0.004 (0.000)","0.005 (0.000)","0.000 (0.000)","0.94 (0.02)","1.00 (0.00)"," 0.99 (0.15)","0.003 (0.000)","0.005 (0.000)","0.000 (0.000)","0.98 (0.02)","0.99 (0.01)"
"MLR_intercepts","S1toS3"," 2.33 (0.04)","0.002 (0.000)","0.003 (0.000)","0.000 (0.000)","0.20 (0.02)","1.00 (0.00)"," 2.44 (0.14)","0.005 (0.000)","0.009 (0.000)","0.000 (0.000)","0.98 (0.01)","1.00 (0.00)"," 1.14 (0.07)","0.003 (0.000)","0.004 (0.000)","0.000 (0.000)","0.94 (0.02)","1.00 (0.00)"," 1.62 (0.10)","0.004 (0.000)","0.005 (0.000)","0.000 (0.000)","0.94 (0.02)","0.98 (0.01)"," 1.14 (0.15)","0.003 (0.000)","0.005 (0.000)","0.000 (0.000)","0.96 (0.02)","1.00 (0.00)"
"MLR_intercepts","S2toS1"," 4.54 (0.04)","0.002 (0.000)","0.003 (0.000)","0.000 (0.000)","0.00 (0.00)","1.00 (0.00)"," 2.37 (0.16)","0.006 (0.000)","0.010 (0.000)","0.000 (0.000)","0.98 (0.01)","1.00 (0.00)"," 1.42 (0.09)","0.003 (0.000)","0.004 (0.000)","0.000 (0.000)","0.94 (0.02)","0.98 (0.01)"," 1.96 (0.12)","0.005 (0.000)","0.006 (0.000)","0.000 (0.000)","0.95 (0.01)","1.00 (0.00)"," 0.86 (0.16)","0.004 (0.000)","0.005 (0.000)","0.000 (0.000)","0.98 (0.02)","1.00 (0.00)"
"MLR_intercepts","S2toS2","-6.69 (0.12)","0.005 (0.000)","0.008 (0.000)","0.000 (0.000)","0.24 (0.03)","1.00 (0.00)","-4.47 (0.32)","0.013 (0.001)","0.020 (0.000)","0.000 (0.000)","0.99 (0.01)","1.00 (0.00)","-2.74 (0.17)","0.007 (0.000)","0.008 (0.000)","0.000 (0.000)","0.93 (0.02)","0.98 (0.01)","-3.78 (0.23)","0.009 (0.000)","0.012 (0.000)","0.000 (0.000)","0.96 (0.01)","0.98 (0.01)","-2.04 (0.37)","0.009 (0.001)","0.011 (0.000)","0.000 (0.000)","0.98 (0.02)","0.99 (0.01)"
"MLR_intercepts","S2toS3"," 8.90 (0.10)","0.004 (0.000)","0.007 (0.000)","0.001 (0.000)","0.00 (0.00)","1.00 (0.00)"," 1.99 (0.22)","0.009 (0.000)","0.014 (0.000)","0.000 (0.000)","1.00 (0.00)","1.00 (0.00)"," 1.29 (0.12)","0.005 (0.000)","0.006 (0.000)","0.000 (0.000)","0.96 (0.01)","0.99 (0.01)"," 1.76 (0.16)","0.006 (0.000)","0.008 (0.000)","0.000 (0.000)","0.97 (0.01)","0.98 (0.01)"," 1.14 (0.26)","0.006 (0.000)","0.008 (0.000)","0.000 (0.000)","0.98 (0.02)","0.99 (0.01)"
"MLR_intercepts","S3toS1"," 1.54 (0.04)","0.001 (0.000)","0.003 (0.000)","0.000 (0.000)","0.73 (0.03)","1.00 (0.00)"," 2.06 (0.18)","0.007 (0.000)","0.011 (0.000)","0.000 (0.000)","0.99 (0.01)","1.00 (0.00)"," 1.20 (0.09)","0.004 (0.000)","0.005 (0.000)","0.000 (0.000)","0.96 (0.01)","0.98 (0.01)"," 1.91 (0.13)","0.005 (0.000)","0.007 (0.000)","0.000 (0.000)","0.94 (0.02)","0.99 (0.01)"," 1.19 (0.18)","0.004 (0.000)","0.006 (0.000)","0.000 (0.000)","0.96 (0.02)","0.99 (0.01)"
"MLR_intercepts","S3toS2","-3.14 (0.06)","0.002 (0.000)","0.004 (0.000)","0.000 (0.000)","0.64 (0.03)","1.00 (0.00)"," 2.60 (0.28)","0.011 (0.000)","0.015 (0.000)","0.000 (0.000)","0.98 (0.01)","0.99 (0.01)"," 1.41 (0.13)","0.005 (0.000)","0.007 (0.000)","0.000 (0.000)","0.96 (0.01)","0.99 (0.01)"," 1.60 (0.20)","0.008 (0.000)","0.009 (0.000)","0.000 (0.000)","0.96 (0.01)","0.97 (0.01)"," 1.02 (0.24)","0.006 (0.000)","0.009 (0.000)","0.000 (0.000)","1.00 (0.00)","1.00 (0.00)"
"MLR_intercepts","S3toS3","-4.03 (0.08)","0.003 (0.000)","0.006 (0.000)","0.000 (0.000)","0.57 (0.03)","1.00 (0.00)","-4.79 (0.36)","0.014 (0.001)","0.021 (0.000)","0.000 (0.000)","0.99 (0.01)","0.99 (0.01)","-2.64 (0.18)","0.007 (0.000)","0.009 (0.000)","0.000 (0.000)","0.94 (0.02)","0.98 (0.01)","-3.56 (0.26)","0.010 (0.000)","0.013 (0.000)","0.000 (0.000)","0.94 (0.02)","0.99 (0.01)","-2.26 (0.32)","0.007 (0.001)","0.012 (0.000)","0.000 (0.000)","0.98 (0.02)","1.00 (0.00)"
